00003,Acacia tumida var. tumida,,11014,111a,11014-111a,,Pindan Wattle,,,Jan 2013,20%,ECHO-US,FLORIDA,Fabaceae,,$0.88
00004,Acrocarpus fraxinifolius,,04044,041A,04044-041a,,Indian Ash/Pink  Cedar,,,Apr 2012,25%,ECHO-US,FLORIDA,Fabaceae,"Deciduous  tree, grows up  to 30-60 m.  Foliage used  for fodder,  sometimes  used as  firewood,  good for  erosion  control and  reforestation.  Seed should  be left to soak  for 24 hours  before  planting.",$0.01
00005,Acrocarpus fraxinifolius,,00017,041a,00017-041a,,Indian Ash/Pink  Cedar,,,April 2012,20%,ECHO-US,FLORIDA,Fabaceae,,$0.01
00006,Acacia elecantha,,02063,081e,02063-081e,,Edible Acacia,,,Jan 2013,60%,,,,,$0.88
00007,Acacia mangium,,02019,021a,02019-021a,,Acacia,,,Jan 2013,40%,ECHO-US,FLORIDA,Fabaceae,"Very fast  growing on  acid,  degraded  soils, needs  full sun to sun.  Fuelwood,  suppresses  weeds. Not  drought or  wind tolerant,  not for fodder.  Don't coppice.  Scarify the  seeds before  planting.",$0.88
00008,Acacia elecantha,,02063,041A,02063-041A,,Edible Acacia,,,Jan 2013,40%,ECHO-US,FLORIDA,Fabaceae,Seed flour can  make up to  25% of a  recipe.  Adapted to  tropical ,$0.88
,,,,,,,,,,,,,,,"semi-arid  climates  (350-800mm  annual  rainfall) and  sandy soils. A  vigorous tree  that produces  a lot of  biomass, high  seed yield, but  pods tend to  shatter.",
00009,Acacia torulosa,,04029,061A,04029-061A,,Edible Australian  Acacia (Deep  Gold Wattle),,,May 2012,50%,ECHO-US,FLORIDA,Fabaceae,,$0.88
00010,Acrocarpus fraxinifolius,,00017,001a,00017-001a,,Indian Ash/Pink  Cedar,,,March  2012,20%,ECHO-US,FLORIDA,Fabaceae,,$0.13
00011,Abelmoschus caillei,,83082,122E,83082-122e,,African Okra,,,Jan 2013,90%,ECHO-US,FLORIDA,Malvaceae,"Long  production  season. HEAT  SCARIFY  seeds  pre-planting:  pour boiling  water over  seeds and let  cool 12 hours;  plant seeds  immediately,  1"" deep.",$0.05
00012,Aeschynomene americana,,08091,081a,08091-081a,,American  Jointvetch/Aeschy nomene,,,Apr 2013,60%,ECHO-US,FLORIDA,Fabaceae,,$0.02
00013,Acacia auriculiformis,,03029,031A,03029-031A,,Earleaf acacia,,,November  2011,40%,ECHO-US,FLORIDA,Fabaceae,,$0.88
00014,Abelmoschus esculentus,,94059,102E,94059-102E,,Okra ,,Borneo,Dec 2012,95%,ECHO-US,FLORIDA,Malvaceae,"Open- pollinated.  Plant seeds 1""  deep. Extra  long edible  pods that  grow up to  19"".",$0.04
00015,Acacia auriculiformis,,03029,101A,03029-101A,,Earleaf Acacia,,,Jan 2012,25%,ECHO-US,FLORIDA,Fabaceae,,$0.88
